State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-03-18,0.4966666666666667,0,0.17638888833333333,0,0,0,0,0,0
2020-03-19,2.62861111,0,3.5300000000000002,3.7891666666666666,0,0,0,0,0
2020-03-20,0,0,0,4.998055556666667,0,0,0,0,0
2020-03-21,0,0,0.46805555666666665,5.712777776666667,0,0,0,0,0
2020-03-22,0,0,0.5463888883333333,0,0,0,0,0,0
2020-03-23,0.06055555666666667,0,1.11611111,0,0,0,0,0,0
2020-03-24,0.9719444433333333,0,0,0,0,0,0,0,0
2020-03-25,0,0,3.4927777766666668,0,0,0,0,0,0
2020-03-26,0,0,1.6161111116666667,0,0,0,0,0,0
2020-03-27,0,0,7.2316666666666665,0,0,0,0,0,0
2020-03-28,0,0,1.7886111116666668,0.0022222216666666667,0,0,0,0,0
2020-03-29,0.32944444333333334,0,0.18111111166666666,0,0,0,0,0,0
2020-03-30,0,0,3.0672222216666665,3.302777776666667,0,0,0,0,0
2020-03-31,0,0,3.8894444433333333,1.0697222233333334,0,0,0,0,0
2020-04-01,0.20472222166666668,0,8.85361111,0,0,0,0,0,0
2020-04-02,0.30305555500000003,0,2.0077777783333333,0,0,0,0,0,0
2020-04-03,0.3672222216666666,0,12.652777776666666,0,0,0,0,0,0
2020-04-04,0.09083333333333334,0,0,0,0,0,0,0,0
2020-04-05,0.16666666666666666,0,0.9402777783333333,0,0,0,0,0,0
2020-04-06,0,0,3.2472222216666666,3.0058333333333334,0,0,0,0,0
2020-04-07,0.060555555,0,7.8975,0,0,0,0,0,0
2020-04-08,0,0,7.28361111,2.193611111666667,0,0,0,0,0
2020-04-09,0.1547222216666667,0,7.188055555,0,0,0,0,0,0
2020-04-10,1.4952777783333335,0,8.385555553333333,0,0,0,0,0,0
2020-04-11,0,0,1.351666665,0,0,0,0,0,0
2020-04-12,0.26611111,0,5.339166666666666,0,0,0,0,0,0
2020-04-13,0.8277777766666667,0,0,1.1972222233333332,13.667500001666667,0,0,0,0
2020-04-14,0.37722222333333333,0,0,7.559722221666667,5.298333331666667,0.7011111116666666,0,0,0
2020-04-15,2.3641666683333336,0,5.1466666666666665,0,0.7438888883333333,0,0,0,0
